序号,软件名称,是否为正版化软件,处置建议
1,flomo 5.24.81,✓,保留
1,Android Studio,✓,保留
1,Conexant HD Audio,✓,保留
1,Apifox 2.5.31,✓,保留
1,EasService-LS,✓,保留
1,ECIP_OF_Patch_20220617,✓,保留
1,Everything 1.4.1.1003 (x64),✓,保留
1,Git,✓,保留
1,Pantum P3380DN Series,✓,保留
1,syncDateTime,✓,保留
1,UPDF,×,请立即卸载
2,Python 3.10.10 Test Suite (64-bit debug),✓,保留
2,Python 3.10.10 Tcl/Tk Support (64-bit),✓,保留
2,Java 8 Update 192 (64-bit),✓,保留
2,MySQL Router 8.0,✓,保留
2,icecap_collection_x64,✓,保留
2,Java SE Development Kit 8 Update 171 (64-bit),✓,保留
2,Universal CRT Tools x64,✓,保留
2,MySQL Server 8.0,✓,保留
2,Python 3.10.10 Executables (64-bit),✓,保留
2,Python 3.10.10 Add to Path (64-bit),✓,保留
2,Python 3.10.10 pip Bootstrap (64-bit),✓,保留
2,Python 3.10.10 Core Interpreter (64-bit),✓,保留
2,DiagnosticsHub_CollectionService,✓,保留
2,Application Verifier x64 External Package,✓,保留
2,Python 3.10.10 Core Interpreter (64-bit debug),✓,保留
2,MySQL Shell 8.0.36,✓,保留
2,Python 3.10.10 Documentation (64-bit),✓,保留
2,Python 3.10.10 Development Libraries (64-bit),✓,保留
2,Python 3.10.10 Test Suite (64-bit),✓,保留
2,Python 3.10.10 Tcl/Tk Support (64-bit debug),✓,保留
2,Python 3.10.10 Executables (64-bit debug),✓,保留
2,Python 3.10.10 Development Libraries (64-bit debug),✓,保留
2,Python 3.10.10 Utility Scripts (64-bit),✓,保留
2,Node.js,✓,保留
2,Python 3.10.10 Standard Library (64-bit),✓,保留
2,Python 3.10.10 Standard Library (64-bit debug),✓,保留
2,Go Programming Language amd64 go1.22.4,✓,保留
2,360压缩,✓,保留
2,360安全卫士,✓,保留
2,Visual Studio Community 2022 Preview,✓,保留
2,Adobe Flash Player 11 ActiveX,✓,保留
2,ECP_Installer_v1.4-WB074,✓,保留
2,Google Chrome,✓,保留
2,ZFInfo_ItxClient,✓,保留
2,查看用户指南,✓,保留
2,网易邮箱大师,✓,保留
2,Mobile Broadband HL Service,✓,保留
2,ZFInfo_NetChkClient,✓,保留
2,PicPick,✓,保留
2,Samsung CLP-775 Series,✓,保留
2,Samsung Easy Printer Manager,✓,保留
2,搜狗拼音输入法 8.2正式版,✓,保留
2,射手影音播放器,✓,保留
2,WinSCP 6.3.3,✓,保留
2,ZFInfo_SDKClient,✓,保留
2,Universal CRT Headers Libraries and Sources,✓,保留
2,icecap_collectionresources,✓,保留
2,WPTx64 (OnecoreUAP),✓,保留
2,Universal CRT Tools x86,✓,保留
2,WinAppDeploy,✓,保留
2,SDK ARM Additions,✓,保留
2,Python Launcher,✓,保留
2,MySQL Documents 8.0,✓,保留
2,Java Auto Updater,✓,保留
2,Kits Configuration Installer,✓,保留
2,VBA (2627.01),✓,保留
2,VBA (2701.04),✓,保留
2,UPDF_Win version 1.0.7.0,✓,保留
2,龙视讯版本103.2.12.53649,✓,保留
2,icecap_collectionresourcesx64,✓,保留
2,icecap_collection_neutral,✓,保留
2,Universal CRT Redistributable,✓,保留
2,Universal General MIDI DLS Extension SDK,✓,保留
2,MySQL Installer - Community,✓,保留
2,Universal CRT Extension SDK,✓,保留
2,MySQL Examples and Samples 8.0,✓,保留
2,WPT Redistributables,✓,保留
2,MySQL Installer - Community,✓,保留
2,影刀,✓,保留
2,WPTx64 (DesktopEditions),✓,保留
2,SDK ARM Redistributables,✓,保留
2,vcpp_crt.redist.clickonce,✓,保留
2,Entity Framework 6.2.0 Tools  for Visual Studio 2022,✓,保留
2,百度网盘,✓,保留
